기준일,지점,상품군,상품명,보유잔액,계좌수,목표금액,달성률(%),수익률(%),담당자
2025-01-04,경기지점,여신,주택담보대출,15991000,31.0,14169885,112.9,1.46,
2025-03-11,본점영업부,여신,주택담보대출,65303000,38.0,47008858,138.9,2.3,
2025-10-27,충북지점,수신,정기예금,14647000,28.0,11773686,124.4,2.05,권예준
2025-12-14,부산지점,수신,정기예금,18170000,31.0,19753781,92.0,2.4,이예준
2025-12-31,경기지점,투자,펀드,16790000,29.0,15379293,109.2,5.46,안가은
2025-02-25,경남지점,여신,소액신용대출,6431000,34.0,6984699,92.1,1.79,박하준
2025-05-04,본점영업부,카드,신용카드,45717000,33.0,55027085,83.1,3.12,황민서
2025-05-09,강남금융센터,여신,주택담보대출,9557000,42.0,12094315,79.0,2.31,안서윤
2025-02-22,경기지점,카드,체크카드,100177000,34.0,104462157,95.9,1.55,신서연
2025-09-11,충남지점,수신,정기예금,107084000,38.0,85460777,125.3,1.13,
2025-06-03,세종지점,카드,신용카드,43984000,36.0,42528969,103.4,2.54,최수아
2025-01-30,경북지점,수신,정기예금,30980000,32.0,31225412,99.2,1.67,
2025-09-03,광주지점,여신,주택담보대출,46378000,36.0,67389821,68.8,0.82,
2025-08-30,충북지점,보험,방카슈랑스,2918000,33.0,3304650,88.3,1.56,
2025-01-04,충남지점,카드,체크카드,14962000,34.0,12740377,117.4,3.08,황민서
2025-08-14,본점영업부,투자,펀드,48881000,39.0,53240514,91.8,-2.7,오시우
2025-10-07,인천지점,수신,정기예금,100566000,30.0,85461717,117.7,0.81,
2025-05-07,전북지점,보험,방카슈랑스,18243000,36.0,15056866,121.2,2.33,황다은
2025-08-17,강원지점,보험,방카슈랑스,39671000,35.0,30940089,128.2,0.61,강채원
2025-07-30,충남지점,카드,체크카드,11536000,29.0,14099042,81.8,2.35,서서연
2025-09-10,세종지점,여신,소액신용대출,18366000,33.0,13082885,140.4,1.05,강현우
2025-07-17,강원지점,투자,펀드,18875000,45.0,19931899,94.7,8.94,홍지민
2025-03-26,전북지점,카드,체크카드,4444000,28.0,3681133,120.7,2.79,서하준
2025-10-13,경북지점,여신,주택담보대출,20785000,30.0,16614120,125.1,1.12,권하준
2025-02-08,인천지점,여신,소액신용대출,61908000,37.0,63939939,96.8,0.59,송태양
2025-09-19,경기지점,수신,정기예금,56244000,35.0,73457673,76.6,2.43,한서연
2025-04-27,제주지점,수신,정기예금,167562000,40.0,135388549,123.8,1.87,오하준
2025-11-30,경기지점,투자,P2P연계,9013000,44.0,11348110,79.4,-8.12,권수아
2025-08-12,울산지점,보험,방카슈랑스,36933000,40.0,36018699,102.5,9.07,
2025-08-11,세종지점,투자,P2P연계,128615000,41.0,139843794,92.0,-2.02,장예준
2025-03-21,여의도PB센터,여신,소액신용대출,21487000,49.0,31874318,67.4,2.51,전민준
2025-09-24,세종지점,수신,정기예금,93893000,46.0,113022370,83.1,2.44,강수아
2025-08-18,세종지점,투자,P2P연계,31517000,39.0,22169400,142.2,3.64,이준서
2025-03-09,광주지점,수신,적금,52934000,31.0,65929411,80.3,1.99,임서윤
2025-09-20,강원지점,카드,신용카드,83822000,43.0,77726879,107.8,1.12,서예준
2025-11-29,경기지점,카드,신용카드,91375000,30.0,118367477,77.2,1.49,
2025-06-13,울산지점,여신,주택담보대출,39789000,38.0,30420923,130.8,1.43,
2025-03-26,여의도PB센터,수신,적금,21245000,40.0,15878561,133.8,0.46,한지민
2025-10-23,경남지점,카드,체크카드,478803000,32.0,699695234,68.4,1.8,송건우
2025-03-27,부산지점,여신,주택담보대출,43033000,29.0,30168293,142.6,2.29,류예준
2025-07-27,부산지점,수신,적금,71215000,42.0,85347054,83.4,1.86,황예준
2025-02-14,부산지점,수신,외화예금,66037000,37.0,81961681,80.6,0.44,김시우
2025-10-21,강남금융센터,투자,펀드,11681000,37.0,9619416,121.4,2.56,정건우
2025-03-18,인천지점,투자,P2P연계,10425000,35.0,12295434,84.8,1.79,김준서
2025-10-09,서울지점,여신,전세자금대출,9561000,38.0,7505298,127.4,1.7,정가은
2025-12-30,인천지점,여신,소액신용대출,68015000,38.0,52945492,128.5,3.06,황태양
2025-11-10,대구지점,여신,주택담보대출,30385000,34.0,23715016,128.1,1.4,
2025-11-22,여의도PB센터,여신,전세자금대출,20860000,38.0,24113055,86.5,2.43,류서윤
2025-03-23,충남지점,카드,신용카드,12046000,38.0,18012119,66.9,0.94,윤채원
2025-03-19,세종지점,카드,체크카드,58567000,41.0,43506392,134.6,1.42,서서연
2025-08-08,전남지점,여신,전세자금대출,28325000,36.0,31009658,91.3,1.52,
2025-01-12,강원지점,여신,소액신용대출,14088000,21.0,19767003,71.3,1.53,임지호
2025-04-13,대구지점,여신,전세자금대출,21817000,36.0,26253453,83.1,2.8,전도윤
2025-05-08,경남지점,여신,전세자금대출,46965000,46.0,63515546,73.9,1.58,
2025-12-17,경기지점,보험,방카슈랑스,41655000,52.0,58876862,70.7,5.77,
2025-10-03,서울지점,수신,적금,41717000,31.0,51484768,81.0,2.41,
2025-03-20,여의도PB센터,투자,펀드,27650000,36.0,25163892,109.9,4.84,황지민
2025-11-02,전북지점,여신,소액신용대출,6499000,33.0,7154438,90.8,1.05,안하준
2025-10-20,대전지점,투자,P2P연계,129680000,33.0,135800877,95.5,4.9,권가은
2025-08-01,대구지점,여신,주택담보대출,42106000,43.0,52328723,80.5,3.17,임지우
2025-01-19,충북지점,투자,펀드,21983000,27.0,28525389,77.1,5.37,홍도윤
2025-02-10,전북지점,수신,외화예금,50439000,31.0,35798190,140.9,1.66,안준서
2025-12-28,대구지점,투자,펀드,10385000,28.0,9752337,106.5,8.29,임수아
2025-11-01,경북지점,여신,전세자금대출,38674000,37.0,45260102,85.4,1.68,이가은
2025-11-15,전남지점,수신,외화예금,19274000,40.0,22165808,87.0,2.92,정건우
2025-08-21,전북지점,수신,적금,77602000,37.0,97099044,79.9,1.88,한준서
2025-11-16,경기지점,여신,소액신용대출,31299000,23.0,31545553,99.2,2.54,오태양
2025-07-17,서울지점,카드,신용카드,11375000,35.0,14620477,77.8,2.04,윤수아
2025-06-28,대구지점,투자,P2P연계,34178000,20.0,32497484,105.2,7.01,이민서
2025-05-06,서울지점,보험,방카슈랑스,13257000,35.0,10119553,131.0,-7.81,윤민서
2025-06-05,세종지점,수신,적금,22804000,31.0,29586037,77.1,2.89,강민준
2025-11-09,서울지점,여신,전세자금대출,23981000,35.0,29271919,81.9,1.21,서지호
2025-08-07,충북지점,여신,소액신용대출,7855000,37.0,10389259,75.6,1.67,박다은
2025-11-25,여의도PB센터,수신,적금,11994000,40.0,17548722,68.3,2.08,
2025-04-25,대구지점,카드,체크카드,49657000,41.0,36223797,137.1,1.5,안유진
2025-07-14,전북지점,투자,P2P연계,35363000,36.0,35191334,100.5,0.49,윤도윤
2025-06-11,광주지점,카드,신용카드,17374000,44.0,13948092,124.6,2.6,전시우
2025-12-09,광주지점,여신,전세자금대출,18836000,33.0,14921090,126.2,1.83,안서윤
2025-06-21,여의도PB센터,수신,정기예금,491336000,41.0,348094536,141.2,2.23,홍다은
2025-07-25,충북지점,여신,전세자금대출,24647000,31.0,22199911,111.0,3.37,장건우
2025-02-06,본점영업부,여신,소액신용대출,6546000,25.0,7867941,83.2,0.52,임지우
2025-04-13,경기지점,여신,주택담보대출,4920000,39.0,3961535,124.2,1.43,안서윤
2025-03-24,충남지점,카드,체크카드,23290000,45.0,22570826,103.2,1.53,권지호
2025-12-28,경남지점,투자,P2P연계,16001000,32.0,23200643,69.0,5.27,한다은
2025-06-21,경기지점,여신,전세자금대출,15132000,40.0,20989723,72.1,0.02,김민준
2025-05-24,강원지점,카드,신용카드,4763000,27.0,6757623,70.5,3.03,안민준
2025-11-26,충북지점,카드,체크카드,8500000,40.0,6008695,141.5,2.71,윤수아
2025-08-19,충북지점,수신,적금,22695000,30.0,33606934,67.5,2.09,임유진
2025-06-19,전북지점,여신,주택담보대출,40440000,34.0,44760370,90.3,2.72,
2025-05-04,인천지점,카드,체크카드,81786000,30.0,87182477,93.8,2.67,이서연
2025-05-26,전남지점,수신,외화예금,9760000,39.0,11600612,84.1,1.82,전예준
2025-08-20,제주지점,카드,신용카드,4928000,36.0,5519946,89.3,1.12,임건우
2025-03-27,전북지점,수신,정기예금,27586000,34.0,37270266,74.0,0.78,서하준
2025-04-30,부산지점,카드,체크카드,47481000,48.0,68528798,69.3,1.49,홍민준
2025-10-02,경남지점,여신,주택담보대출,11329000,25.0,11738464,96.5,2.13,임현우
2025-07-12,부산지점,카드,체크카드,192933000,43.0,183800895,105.0,2.18,황서연
2025-07-12,전북지점,수신,외화예금,16873000,36.0,14346735,117.6,2.35,
2025-12-02,서울지점,투자,펀드,17224000,42.0,20608560,83.6,5.41,
2025-05-07,대구지점,여신,전세자금대출,4717000,39.0,3866454,122.0,1.21,신지민
2025-01-27,세종지점,수신,적금,47100000,33.0,35395779,133.1,2.8,신지우
2025-02-08,제주지점,수신,외화예금,428321000,44.0,545807548,78.5,2.01,황유진
2025-01-21,충북지점,카드,신용카드,54485000,32.0,52024485,104.7,3.11,신서윤
2025-01-24,대구지점,여신,전세자금대출,8573000,34.0,7459197,114.9,1.88,김건우
2025-01-21,제주지점,수신,정기예금,18497000,46.0,14745458,125.4,2.61,최도윤
2025-10-09,전남지점,투자,P2P연계,3678000,32.0,4836786,76.0,3.37,
2025-12-31,강남금융센터,수신,적금,16292000,,22430301,72.6,3.61,김서윤
2025-06-02,경남지점,여신,소액신용대출,18216000,29.0,17763906,102.5,2.23,신현우
2025-11-18,경북지점,수신,적금,19010000,38.0,16128331,117.9,2.85,황도윤
2025-05-03,광주지점,보험,방카슈랑스,22352000,30.0,28832528,77.5,8.09,홍유진
2025-11-20,충북지점,수신,적금,55628000,37.0,42245762,131.7,1.48,강가은
2025-06-03,강남금융센터,수신,정기예금,57418000,38.0,41174503,139.5,1.78,신가은
2025-01-27,부산지점,카드,체크카드,46443000,36.0,37752555,123.0,1.56,박도윤
2025-08-16,강원지점,여신,주택담보대출,8446000,35.0,6579521,128.4,1.96,류민서
2025-09-10,광주지점,투자,P2P연계,9536000,40.0,13248185,72.0,6.36,이서연
2025-09-01,여의도PB센터,수신,적금,9888000,17.0,8885566,111.3,2.7,황민서
2025-11-08,강남금융센터,카드,체크카드,93312000,41.0,98208977,95.0,0.95,윤도윤
2025-12-22,부산지점,여신,전세자금대출,6792000,27.0,8784773,77.3,2.57,
2025-04-30,경기지점,투자,P2P연계,145436000,26.0,159334222,91.3,2.28,이예준
2025-10-14,강원지점,투자,펀드,97658000,24.0,124299752,78.6,5.73,신수아
2025-07-15,서울지점,수신,외화예금,36583000,34.0,38148517,95.9,1.62,박도윤
2025-07-29,인천지점,여신,주택담보대출,39400000,40.0,41517919,94.9,3.33,정지우
2025-09-14,전남지점,투자,펀드,18607000,33.0,15833868,117.5,-1.89,전다은
2025-11-17,전북지점,카드,신용카드,9461000,42.0,8380196,112.9,0.66,
2025-11-05,경북지점,카드,신용카드,28663000,29.0,39749404,72.1,2.28,
2025-09-11,경북지점,수신,정기예금,41323000,41.0,55027998,75.1,2.55,최민서
2025-12-18,경기지점,수신,외화예금,67537000,,63828904,105.8,2.42,신민준
2025-02-04,본점영업부,여신,소액신용대출,32109000,36.0,38180991,84.1,2.65,조지민
2025-06-20,대구지점,여신,주택담보대출,105706000,35.0,106842026,98.9,2.8,송지호
2025-09-15,인천지점,수신,적금,17951000,34.0,24686041,72.7,3.62,정지민
2025-07-24,여의도PB센터,카드,체크카드,99158000,31.0,134119959,73.9,2.23,황지민
2025-02-21,부산지점,투자,펀드,107840000,43.0,110648342,97.5,13.42,황지호
2025-10-05,충북지점,투자,P2P연계,15846000,33.0,17700877,89.5,4.08,전지우
2025-09-26,대구지점,수신,외화예금,38919000,46.0,54062023,72.0,1.4,
2025-10-29,서울지점,수신,정기예금,11434000,40.0,15233867,75.1,2.5,
2025-09-02,강남금융센터,수신,적금,14155000,31.0,21111452,67.0,2.0,김지민
2025-04-29,부산지점,투자,펀드,4240000,34.0,5993559,70.7,9.0,전건우
2025-07-28,세종지점,카드,체크카드,15538000,34.0,20743026,74.9,2.45,
2025-09-13,울산지점,수신,적금,11667000,36.0,13467570,86.6,1.22,장민서
2025-12-31,경북지점,여신,주택담보대출,26748000,48.0,37241041,71.8,3.18,김지우
2025-08-04,강원지점,보험,방카슈랑스,86302000,45.0,73471180,117.5,4.78,정건우
2025-01-23,인천지점,투자,펀드,17360000,25.0,16701522,103.9,1.77,서태양
2025-12-04,본점영업부,수신,정기예금,45326000,45.0,41467010,109.3,2.64,박다은
2025-09-21,울산지점,수신,외화예금,44042000,36.0,60651214,72.6,1.97,신민준
2025-09-03,경남지점,투자,P2P연계,20586000,33.0,28380972,72.5,8.55,최현우
2025-03-03,본점영업부,보험,방카슈랑스,19858000,30.0,23506548,84.5,8.23,권민준
2025-08-20,제주지점,수신,외화예금,169806000,36.0,214657620,79.1,3.06,윤하준
2025-06-04,경북지점,보험,방카슈랑스,104893000,33.0,98882201,106.1,-1.94,송지호
2025-08-03,광주지점,여신,전세자금대출,23040000,35.0,22499656,102.4,2.73,송유진
2025-05-18,전남지점,수신,정기예금,3574000,35.0,4956213,72.1,2.51,이예준
2025-05-25,충북지점,수신,외화예금,33209000,40.0,47776325,69.5,2.57,김민서
2025-08-29,강남금융센터,수신,외화예금,55795000,33.0,56766824,98.3,1.49,김민준
2025-05-06,부산지점,수신,외화예금,26503000,38.0,21211975,124.9,1.22,최하준
2025-03-22,서울지점,여신,주택담보대출,22899000,32.0,21111435,108.5,0.95,권지민
2025-01-18,대전지점,카드,체크카드,44404000,43.0,60224692,73.7,1.9,
2025-03-06,대전지점,수신,적금,8779000,29.0,9380219,93.6,2.2,류유진
2025-11-28,부산지점,투자,P2P연계,13154000,42.0,17015287,77.3,12.53,신서윤
2025-05-06,강남금융센터,카드,신용카드,17006000,37.0,12335559,137.9,2.55,조다은
2025-08-24,부산지점,여신,주택담보대출,11177000,32.0,11584608,96.5,4.68,장서연
2025-05-09,여의도PB센터,여신,주택담보대출,10147000,46.0,14704328,69.0,2.35,안서연
2025-10-18,광주지점,카드,신용카드,5432000,54.0,7612214,71.4,2.21,강건우
2025-08-05,세종지점,여신,전세자금대출,38643000,33.0,54447004,71.0,1.11,장다은
2025-04-13,강원지점,수신,외화예금,16504000,33.0,12234796,134.9,3.64,한도윤
2025-11-10,경남지점,수신,정기예금,42873000,28.0,60123911,71.3,1.54,정민서
2025-05-11,광주지점,카드,체크카드,15791000,27.0,11400140,138.5,1.83,안지민
2025-10-15,여의도PB센터,카드,체크카드,4345000,34.0,5434217,80.0,1.6,윤지호
2025-11-18,인천지점,보험,방카슈랑스,110913000,39.0,159093939,69.7,-0.49,강다은
2025-02-11,경북지점,보험,방카슈랑스,24947000,38.0,18163099,137.3,1.8,장다은
2025-06-26,여의도PB센터,카드,체크카드,23439000,30.0,22461783,104.4,2.02,김가은
2025-06-09,대구지점,여신,주택담보대출,77159000,43.0,75708178,101.9,1.8,한도윤
2025-01-22,제주지점,투자,펀드,29769000,43.0,24515065,121.4,1.46,이지호
2025-09-26,울산지점,수신,적금,57937000,28.0,64180120,90.3,1.8,임지호
2025-06-08,서울지점,수신,외화예금,6926000,40.0,10062779,68.8,2.79,
2025-02-10,경북지점,카드,체크카드,126443000,53.0,102122511,123.8,1.98,정서연
2025-08-16,경남지점,수신,외화예금,3599000,41.0,4148481,86.8,1.8,서지우
2025-12-02,서울지점,수신,적금,13979000,32.0,16387575,85.3,1.98,정지호
2025-01-31,충북지점,카드,신용카드,18496000,34.0,20787951,89.0,1.89,장지우
2025-08-05,서울지점,보험,방카슈랑스,26726000,32.0,24785719,107.8,-8.08,한지우
2025-04-10,울산지점,여신,주택담보대출,60389000,34.0,84922171,71.1,1.76,
2025-07-06,경북지점,수신,외화예금,43752000,28.0,34939205,125.2,0.5,윤서윤
2025-04-22,울산지점,투자,P2P연계,26540000,29.0,24476655,108.4,5.58,이민준
2025-02-12,경남지점,여신,전세자금대출,5598000,39.0,5696760,98.3,1.21,황서윤
2025-03-19,서울지점,수신,적금,59860000,27.0,83114037,72.0,1.21,서건우
2025-12-13,여의도PB센터,카드,체크카드,52865000,33.0,68705982,76.9,0.7,한태양
2025-03-16,부산지점,보험,방카슈랑스,36442000,32.0,30250559,120.5,3.82,최태양
2025-11-03,부산지점,수신,외화예금,9908000,29.0,10632102,93.2,2.12,김채원
2025-07-06,경북지점,수신,외화예금,3162000,33.0,3939206,80.3,1.67,강유진
2025-08-04,인천지점,수신,정기예금,28166000,30.0,34904794,80.7,1.02,조준서
2025-10-30,광주지점,투자,P2P연계,15983000,33.0,21139388,75.6,1.99,이준서
2025-05-04,본점영업부,여신,주택담보대출,36694000,43.0,36006106,101.9,2.6,서민준
2025-06-28,여의도PB센터,수신,적금,29602000,37.0,26439284,112.0,1.9,황채원
2025-04-12,강남금융센터,여신,전세자금대출,38412000,37.0,48397088,79.4,1.97,홍민서
2025-04-03,대구지점,투자,펀드,35925000,27.0,30301882,118.6,9.74,신가은
2025-12-05,광주지점,여신,주택담보대출,23637000,35.0,32513359,72.7,1.21,신건우
2025-01-22,여의도PB센터,카드,체크카드,34871000,39.0,44811975,77.8,1.69,
2025-04-14,충북지점,투자,P2P연계,64127000,35.0,68439865,93.7,2.27,안건우
2025-11-17,인천지점,수신,적금,16032000,33.0,18386889,87.2,2.84,박하준
2025-11-04,강원지점,카드,체크카드,53131000,40.0,73376410,72.4,1.27,류예준
2025-04-28,대구지점,보험,방카슈랑스,5516000,37.0,5171403,106.7,7.03,최민준
2025-11-22,여의도PB센터,투자,P2P연계,84158000,38.0,117365580,71.7,2.72,강가은
2025-09-12,충북지점,여신,주택담보대출,18821000,45.0,14880044,126.5,2.48,안준서
2025-04-22,세종지점,수신,적금,72654000,31.0,86547571,83.9,2.88,류지호
2025-04-28,서울지점,여신,주택담보대출,85425000,35.0,113513590,75.3,2.03,서건우
2025-06-08,경북지점,여신,소액신용대출,244379000,31.0,273230111,89.4,1.79,송지호
2025-05-05,충북지점,카드,체크카드,13005000,36.0,17673575,73.6,1.57,홍민서
2025-04-22,강남금융센터,수신,정기예금,16758000,28.0,18159167,92.3,1.3,송수아
2025-10-23,경북지점,수신,적금,30811000,43.0,32196076,95.7,0.62,서도윤
2025-07-09,세종지점,카드,체크카드,21529000,35.0,27651148,77.9,1.8,홍준서
2025-02-03,인천지점,투자,펀드,32133000,48.0,46975938,68.4,-1.46,한예준
2025-09-03,경북지점,카드,신용카드,16582000,36.0,18169991,91.3,4.83,
2025-05-19,대구지점,수신,외화예금,45633000,34.0,66414590,68.7,3.02,오가은
2025-06-07,경기지점,수신,적금,59631000,38.0,53996262,110.4,1.58,
2025-01-30,전남지점,수신,정기예금,20072000,,16485166,121.8,2.79,윤시우
2025-09-13,광주지점,여신,전세자금대출,46078000,46.0,34348012,134.2,2.38,류시우
2025-12-13,경북지점,여신,소액신용대출,32175000,39.0,27289519,117.9,4.11,신서윤
2025-06-03,서울지점,수신,외화예금,15027000,39.0,16030731,93.7,1.13,서예준
2025-12-04,부산지점,수신,정기예금,3845000,38.0,3611145,106.5,2.64,장준서
2025-03-02,대구지점,수신,적금,31288000,45.0,40155774,77.9,2.31,안하준
2025-07-24,전남지점,투자,펀드,180711000,46.0,267646788,67.5,6.06,윤서연
2025-08-04,충북지점,여신,전세자금대출,52949000,31.0,75977023,69.7,2.48,오수아
2025-09-25,충남지점,카드,체크카드,18433000,38.0,14771108,124.8,2.45,
2025-08-14,강원지점,여신,소액신용대출,22279000,37.0,25886252,86.1,1.71,임민준
2025-10-12,대전지점,수신,적금,17747000,29.0,24878125,71.3,2.83,박가은
2025-07-31,경북지점,수신,정기예금,16532000,36.0,23832183,69.4,3.01,조하준
2025-09-21,인천지점,여신,전세자금대출,136733000,29.0,144081053,94.9,1.09,홍하준
2025-02-19,강남금융센터,여신,전세자금대출,16022000,38.0,17691724,90.6,1.38,
2025-07-21,전북지점,투자,P2P연계,30691000,36.0,26747386,114.7,1.0,홍민준
2025-03-15,세종지점,투자,P2P연계,99170000,33.0,111037498,89.3,10.07,조서연
2025-01-26,경북지점,여신,주택담보대출,79542000,33.0,93488580,85.1,2.19,정도윤
2025-12-26,울산지점,여신,주택담보대출,17166000,39.0,16764436,102.4,1.72,윤민준
2025-01-09,대전지점,보험,방카슈랑스,32399000,53.0,28945286,111.9,-2.07,이서연
2025-04-05,대전지점,카드,신용카드,6280000,35.0,6886748,91.2,1.7,장지호
2025-10-05,부산지점,여신,소액신용대출,169881000,33.0,253958065,66.9,3.11,강가은
2025-01-06,강원지점,카드,신용카드,13182000,28.0,9873912,133.5,1.76,오예준
2025-11-23,세종지점,투자,P2P연계,37316000,37.0,29508164,126.5,1.95,장가은
2025-06-08,울산지점,여신,소액신용대출,156012000,34.0,191608561,81.4,1.63,윤준서
2025-12-30,인천지점,여신,주택담보대출,14381000,30.0,15824572,90.9,2.4,안하준
2025-09-18,경기지점,투자,P2P연계,41793000,45.0,39579796,105.6,4.03,서가은
2025-02-11,경북지점,수신,외화예금,29095000,26.0,39026481,74.6,1.16,서하준
2025-08-13,전남지점,여신,주택담보대출,7971000,25.0,7771222,102.6,1.67,김채원
2025-12-24,충남지점,수신,적금,72836000,30.0,102302749,71.2,0.9,류채원
2025-11-24,서울지점,여신,주택담보대출,30104000,29.0,44844691,67.1,0.86,
2025-03-07,대전지점,수신,외화예금,29310000,30.0,34945557,83.9,1.84,권태양
2025-05-17,광주지점,수신,정기예금,15420000,34.0,21914492,70.4,2.49,박시우
2025-03-14,광주지점,여신,주택담보대출,47826000,35.0,48035727,99.6,2.95,송시우
2025-04-19,대구지점,여신,소액신용대출,31019000,40.0,39810748,77.9,2.23,박현우
2025-07-08,전남지점,투자,P2P연계,34907000,30.0,39758114,87.8,-0.45,조민준
2025-01-21,여의도PB센터,카드,신용카드,6791000,41.0,7230605,93.9,1.36,강지민
2025-10-04,충남지점,수신,외화예금,10327000,49.0,8842516,116.8,2.47,송서윤
2025-04-02,전남지점,여신,소액신용대출,30770000,36.0,44064956,69.8,2.49,오건우
2025-08-22,강남금융센터,여신,소액신용대출,34639000,25.0,32014306,108.2,1.0,정지우
2025-03-26,경기지점,투자,펀드,37470000,38.0,53333600,70.3,-2.25,서유진
2025-11-22,여의도PB센터,카드,체크카드,49195000,26.0,71106988,69.2,2.32,정민서
2025-07-02,강남금융센터,수신,정기예금,110382000,32.0,91603789,120.5,3.17,
2025-03-31,제주지점,수신,외화예금,23655000,43.0,31159780,75.9,1.78,황도윤
2025-10-21,대구지점,카드,체크카드,33537000,,34989163,95.8,1.39,장수아
2025-08-25,충남지점,여신,주택담보대출,5464000,42.0,7445628,73.4,1.9,서서윤
2025-02-27,경남지점,수신,적금,71235000,33.0,68215074,104.4,1.48,전시우
2025-06-30,세종지점,카드,신용카드,41288000,29.0,31220456,132.2,2.67,윤서연
2025-03-25,인천지점,수신,적금,119530000,36.0,106154481,112.6,1.73,홍가은
2025-09-27,대구지점,수신,정기예금,33851000,34.0,49291982,68.7,2.35,이태양
2025-12-07,제주지점,카드,신용카드,3512000,35.0,4007557,87.6,1.55,
2025-09-29,경북지점,투자,P2P연계,72222000,35.0,79835596,90.5,5.5,장다은
2025-01-16,본점영업부,투자,펀드,6301000,38.0,4721640,133.4,3.36,서다은
2025-04-18,제주지점,카드,체크카드,3558000,45.0,4365746,81.5,1.54,오채원
2025-03-08,대전지점,카드,신용카드,49378000,37.0,65334389,75.6,2.55,윤도윤
2025-09-28,인천지점,카드,신용카드,73586000,28.0,65510014,112.3,2.34,
2025-05-22,충남지점,보험,방카슈랑스,44660000,45.0,31833052,140.3,0.43,장지우
2025-01-28,인천지점,여신,전세자금대출,11304000,33.0,14322316,78.9,0.09,장도윤
2025-10-13,충남지점,수신,정기예금,32711000,30.0,31289452,104.5,1.13,강지우
2025-12-23,부산지점,보험,방카슈랑스,8597000,33.0,10864833,79.1,-0.03,안서연
2025-03-05,인천지점,카드,체크카드,21576000,31.0,19572755,110.2,1.8,신도윤
2025-05-25,인천지점,수신,적금,12070000,32.0,17149730,70.4,2.16,윤서연
2025-07-06,서울지점,수신,적금,40352000,,57322514,70.4,1.9,서채원
2025-08-25,전북지점,투자,펀드,41239000,45.0,48815312,84.5,5.33,이가은
2025-03-22,강원지점,투자,P2P연계,23336000,37.0,27444340,85.0,3.99,전도윤
2025-02-26,강남금융센터,수신,정기예금,24207000,40.0,17184325,140.9,0.38,안태양
2025-08-24,제주지점,카드,신용카드,26980000,40.0,32381889,83.3,1.4,조지호
2025-09-13,전남지점,수신,적금,57938000,39.0,78364611,73.9,1.92,조서윤
2025-09-22,부산지점,투자,P2P연계,64342000,47.0,45273093,142.1,10.17,윤민준
2025-05-22,제주지점,수신,정기예금,128098000,40.0,94252520,135.9,1.84,신도윤
2025-03-09,충북지점,여신,소액신용대출,30181000,36.0,41359298,73.0,3.31,최지민
2025-06-15,경남지점,보험,방카슈랑스,13957000,34.0,10220639,136.6,7.08,
2025-04-12,경북지점,여신,소액신용대출,9030000,32.0,11194035,80.7,-0.48,홍도윤
2025-10-24,전남지점,수신,적금,113761000,47.0,114370075,99.5,3.48,최다은
2025-09-27,강원지점,수신,외화예금,20582000,45.0,26867337,76.6,2.52,류서연
2025-12-24,대구지점,투자,P2P연계,88872000,31.0,100596714,88.3,7.47,장예준
2025-12-10,강원지점,수신,정기예금,59375000,42.0,56778067,104.6,2.61,조가은
