대출ID,신청일,대출금액,금리(%),기간(개월),신용등급,지역,연령대,대출목적,연체여부,연체일수,상환상태
LN205261,2024-02-18,1060000,6.81,12,2등급,경남,30대,의료비,N,0,정상상환
LN203077,2025-02-12,3370000,10.04,24,3등급,경북,30대,기타,N,0,상환중
LN200285,2024-03-04,4790000,13.18,6,5등급,부산,30대,사업자금,N,0,상환중
LN203583,2025-06-09,6940000,12.42,12,4등급,경북,40대,기타,N,0,상환중
LN201646,2025-04-17,3030000,13.49,60,4등급,경북,40대,사업자금,N,-1,정상상환
LN205445,2024-11-11,1970000,6.63,60,1등급,경남,20대,주거자금,N,0,정상
LN204352,2024-04-15,4390000,6.11,48,2등급,서울,50대,주거자금,N,0,상환중
LN200379,2024-10-28,1380000,17.15,12,5등급,서울,30대,교육비,N,0,정상
LN201005,2025-05-23,1810000,14.19,6,5등급,대구,40대,사업자금,N,0,상환중
LN202272,2024-09-19,2460000,10.58,48,3등급,경기 ,50대,의료비,N,0,완제
LN200538,2024-08-23,500000,5.15,12,1등급,광주,40대,채무상환,N,0,상환중
LN202432,2024-12-04,730000,8.02,60,2등급,인천,40대,주거자금,N,0,상환중
LN204428,2024-09-06,5830000,14.86,60,5등급,경남,40대,기타,N,0,정상
LN202666,2024-03-06,2070000,20.15,6,7등급,서울,30대,사업자금,N,0,완제
LN201784,2024-05-04,870000,11.14,48,4등급,충북,20대,교육비,N,0,정상
LN204021,2025-03-27,4880000,15.8,24,5등급,세종,30대,의료비,N,0,완제
LN200347,2024-07-05,2780000,,24,,,60대 이상,,N,0,상환중
LN200644,2024-09-02,10590000,6.94,24,1등급,경기,20대,생활자금,N,0,완제
LN202595,2024-01-22,1930000,8.02,6,2등급,경기,40대,채무상환,N,0,정상
LN202825,2025-05-18,1230000,,24,,,40대,,N,0,정상
LN201205,2025-06-18,2340000,,6,,,30대,,N,0,정상
LN202375,2024-03-15,1320000,8.09,24,2등급,경남,30대,기타,N,0,완제
LN205262,2025-01-05,2030000,4.45,12,1등급,전남,20대,교육비,N,0,상환중
LN201420,2024-10-13,2570000,7.99,12,3등급,인천,40대,주거자금,N,0,완제
LN203154,2024-09-27,2410000,8.71,24,3등급,충남,30대,채무상환,N,0,상환중
LN205747,2025-05-01,2150000,15.52,24,5등급,충북,60대 이상,의료비,N,0,상환중
LN202386,2024-03-09,3710000,10.56,24,3등급,세종,50대,기타,N,0,정상
LN200926,2024-03-21,3440000,10.56,12,3등급,부산광역시,30대,의료비,N,0,정상상환
LN204946,2025-01-17,720000,10.01,48,3등급,광주,30대,생활자금,N,0,상환중
LN204364,2025-06-05,1890000,9.06,12,3등급,강원,30대,생활자금,N,0,상환중
LN202477,2025-02-04,2690000,10.42,6,3등급,경북,20대,주거자금,N,0,정상상환
LN204522,2024-12-09,1890000,20.6,36,7등급,울산,40대,주거자금,Y,21,연체
LN205116,2024-03-17,3320000,6.24,60,3등급,충북,20대,의료비,N,0,상환중
LN204615,2024-05-17,3070000,10.14,36,3등급,전남,50대,생활자금,N,0,정상상환
LN200903,2025-05-07,880000,8.75,48,3등급,경기,50대,교육비,N,0,정상
LN203062,2025-01-01,2360000,12.65,12,4등급,광주,50대,주거자금,N,0,정상
LN200901,2024-09-26,1530000,19.16,24,6등급,충남,30대,주거자금,Y,7,연체
LN203343,2024-10-16,4870000,17.16,48,6등급,충남,20대,채무상환,N,0,정상
LN203612,2024-10-14,3290000,16.25,6,5등급,서울특별시,30대,채무상환,N,0,정상상환
LN204196,2024-01-25,2090000,11.7,24,,,30대,,N,0,완제
LN202718,2024-06-15,7750000,16.79,48,6등급,경남,40대,생활자금,N,0,완제
LN205109,2025-03-22,1920000,11.02,24,3등급,충남,50대,기타,Y,51,연체
LN200660,2024-08-27,1240000,7.2,36,3등급,전남,40대,교육비,N,0,상환중
LN204592,2024-08-21,2830000,20.42,36,6등급,경기,20대,교육비,N,0,상환중
LN200975,2025-01-26,1940000,13.65,48,5등급,경남,40대,의료비,N,0,정상상환
LN204577,2025-06-20,4890000,15.29,6,5등급,서울,40대,의료비,N,0,정상
LN202811,2024-01-31,7410000,17.02,6,5등급,강원,30대,생활자금,N,0,정상
LN202757,2024-12-21,1140000,18.56,60,6등급,경기,30대,사업자금,N,0,완제
LN200410,2024-12-12,2020000,12.37,60,4등급,경북,40대,주거자금,N,0,정상상환
LN203086,2025-06-01,830000,5.46,36,,,40대,,N,0,상환중
LN200401,2024-08-15,2100000,5.56,12,2등급,전남,40대,주거자금,N,0,정상
LN203105,2024-05-26,5200000,,36,,,60대 이상,,N,0,완제
LN205139,2025-04-30,2220000,5.42,60,1등급,인천,30대,의료비,N,0,정상
LN200131,2024-12-22,610000,11.09,6,4등급,광주,40대,생활자금,N,0,상환중
LN200602,2024-09-21,6620000,,12,,,40대,,N,0,상환중
LN201797,2024-06-14,1670000,5.83,36,2등급,전북,20대,생활자금,N,0,상환중
LN202111,2024-06-14,1600000,13.73,24,5등급,경북,20대,의료비,N,0,상환중
LN204620,2024-05-25,1040000,13.72,36,5등급,대구,30대,생활자금,N,0,완제
LN204678,2024-11-12,1610000,9.54,24,3등급,강원,60대 이상,사업자금,N,0,상환중
LN200328,2024-10-08,1230000,16.2,24,6등급,경북,50대,기타,N,0,상환중
LN202528,2024-07-27,1640000,19.31,60,6등급,강원,30대,의료비,Y,19,연체
LN200009,2024-02-07,1350000,,24,,,50대,,N,0,완제
LN200042,2024-03-14,1570000,,12,,,40대,,N,0,정상상환
LN204191,2024-11-17,4330000,10.91,6,4등급,광주,50대,주거자금,Y,23,연체
LN202868,2025-02-02,1310000,15.8,12,5등급,경기도,50대,주거자금,N,0,상환중
LN202368,2024-06-13,5340000,12.55,24,4등급,전남,30대,생활자금,N,0,상환중
LN204943,2024-09-07,1660000,16.5,60,5등급,서울특별시,20대,기타,N,0,완제
LN202200,2025-03-09,3450000,11.91,60,4등급,전북,30대,생활자금,N,0,정상
LN204975,2024-03-25,1330000,9.18,12,2등급,인천,30대,주거자금,N,0,상환중
LN204174,2025-05-09,2200000,6.98,6,2등급,대구,30대,기타,N,0,완제
LN204871,2025-06-11,5540000,15.89,24,5등급,경북,30대,의료비,N,0,완제
LN201384,2024-09-29,6970000,18.66,12,6등급,인천,30대,생활자금,Y,96,상각
LN200688,2025-06-07,1930000,15.06,24,5등급,대전,40대,사업자금,N,0,정상상환
LN204781,2024-07-31,500000,9.41,60,3등급,충북,30대,채무상환,N,0,완제
LN203287,2024-09-30,3550000,6.24,36,2등급,경북,30대,사업자금,N,0,정상
LN204951,2024-06-06,1310000,15.46,36,5등급,서울,30대,주거자금,N,0,완제
LN200738,2025-03-01,1040000,14.62,36,5등급,전북,30대,사업자금,N,0,완제
LN201114,2024-11-05,4000000,8.99,12,3등급,세종,30대,채무상환,N,0,정상
LN204966,2024-05-14,3250000,20.05,12,7등급,대구,30대,채무상환,N,0,상환중
LN201380,2025-03-12,3500000,,12,,,30대,,N,0,정상상환
LN201882,2024-02-11,2440000,12.42,48,4등급,제주,30대,기타,N,0,완제
LN200471,2024-06-25,830000,11.63,12,4등급,경북,20대,교육비,N,0,상환중
LN203178,2024-02-21,1870000,7.76,12,3등급,전북,30대,의료비,N,0,상환중
LN202231,2024-05-01,4030000,9.05,6,3등급,부산,40대,교육비,N,0,상환중
LN201353,2024-11-04,1020000,16.53,12,5등급,충북,50대,교육비,N,0,상환중
LN201306,2024-06-21,6840000,5.45,12,2등급,부산,30대,채무상환,N,0,완제
LN205937,2024-12-19,5860000,20.92,24,7등급,충남,30대,사업자금,N,0,정상상환
LN203061,2024-04-24,8240000,18.14,12,6등급,충북,20대,의료비,N,0,상환중
LN202454,2024-06-04,3740000,9.25,60,3등급,서울,20대,사업자금,N,0,정상
LN200802,2024-11-11,1300000,10.86,12,3등급,전남,30대,기타,N,0,상환중
LN203511,2024-03-30,8350000,15.15,36,5등급,인천,50대,주거자금,N,0,상환중
LN202145,2025-03-19,2340000,10.25,6,4등급,강원,30대,기타,N,0,상환중
LN200311,2024-05-07,2250000,11.1,60,4등급,인천,40대,의료비,N,0,상환중
LN205953,2025-04-16,6940000,12.65,12,4등급,제주,30대,교육비,N,0,정상
LN203582,2024-04-21,500000,14.21,12,5등급,전남,40대,생활자금,N,0,상환중
LN204017,2025-04-13,1460000,17.2,12,6등급,충남,40대,채무상환,N,0,정상
LN205088,2024-07-11,4240000,14.45,12,5등급,전북,40대,의료비,N,0,상환중
LN204521,2024-03-02,8230000,3.29,36,2등급,충남,20대,주거자금,N,0,상환중
LN205270,2024-02-19,590000,5.63,12,2등급,충남,50대,주거자금,N,0,정상상환
LN200428,2024-10-31,600000,11.01,24,3등급,제주,40대,사업자금,N,0,정상
LN200905,2024-10-02,2080000,4.79,48,1등급,광주,30대,생활자금,N,0,정상상환
LN202299,2025-01-23,1010000,5.57,60,1등급,충남,30대,주거자금,N,0,상환중
LN205041,2025-03-20,2820000,10.74,12,4등급,경기 ,60대 이상,교육비,N,0,상환중
LN200295,2024-02-29,1920000,,24,,,20대,,Y,136,연체
LN200407,2025-04-25,2290000,12.68,12,4등급,부산,30대,주거자금,N,0,완제
LN203447,2024-10-18,1260000,17.44,36,7등급,전남,30대,교육비,Y,55,연체
LN201835,2024-08-13,2360000,10.15,48,3등급,전남,60대 이상,주거자금,N,0,상환중
LN204103,2024-07-16,4290000,18.8,24,7등급,전북,30대,주거자금,N,0,정상상환
LN202430,2024-03-23,5500000,14.55,48,5등급,서울,30대,의료비,N,0,정상상환
LN203929,2025-06-15,7170000,13.92,6,4등급,울산,50대,주거자금,N,0,정상
LN204652,2024-06-20,1720000,7.9,24,2등급,충북,50대,교육비,N,0,정상
LN204545,2024-12-03,3330000,8.9,12,3등급,경북,30대,기타,N,0,완제
LN203476,2024-04-23,1410000,18.26,24,6등급,경북,50대,채무상환,Y,27,연체
LN202031,2024-08-29,1000000,17.72,60,6등급,울산,20대,의료비,N,0,정상
LN200632,2024-09-25,4620000,12.07,24,4등급,전북,30대,기타,N,0,상환중
LN204860,2024-12-14,1070000,7.14,60,2등급,경북,60대 이상,주거자금,N,0,완제
LN205704,2024-10-16,1100000,13.61,12,4등급,전남,50대,사업자금,N,0,상환중
LN205143,2025-05-04,2330000,12.56,60,4등급,광주,50대,교육비,N,0,완제
LN205625,2024-03-22,4020000,16.56,6,5등급,대구,20대,교육비,Y,63,연체
LN202159,2025-02-03,1480000,,24,,,30대,,N,0,완제
LN204343,2025-01-02,6410000,7.19,6,2등급,대구,60대 이상,생활자금,N,0,완제
LN205848,2024-02-02,1760000,12.04,36,4등급,울산,40대,생활자금,N,0,정상상환
LN203378,2024-06-05,4660000,10.79,12,4등급,인천,30대,주거자금,N,0,완제
LN205046,2025-01-29,5160000,12.1,60,4등급,대전,40대,사업자금,N,0,정상상환
LN204628,2025-02-17,650000,12.33,24,4등급,충남,30대,채무상환,N,0,완제
LN201361,2025-02-11,2710000,7.44,24,3등급,인천,40대,의료비,N,0,완제
LN202559,2024-08-20,700000,8.33,60,2등급,세종,30대,사업자금,N,0,정상상환
LN204791,2025-01-09,8870000,4.53,48,1등급,제주,40대,생활자금,N,0,상환중
LN202726,2024-06-05,2900000,21.06,36,7등급,부산,30대,교육비,Y,45,연체
LN204328,2025-01-17,1000000,15.12,36,5등급,대전,20대,채무상환,N,0,정상상환
LN205541,2024-03-14,4750000,12.19,12,4등급,경남,50대,기타,N,0,상환중
LN202414,2025-03-21,2930000,5.79,6,1등급,,40대,,N,0,상환중
LN204213,2024-09-04,8480000,16.53,12,5등급,인천,50대,생활자금,Y,76,연체
LN205767,2024-06-12,4460000,6.06,60,2등급,경기 ,20대,채무상환,N,0,정상
LN202652,2025-06-01,1210000,6.43,12,2등급,경남,50대,주거자금,N,0,정상
LN205934,2025-03-03,2770000,6.6,12,2등급,충북,40대,주거자금,N,0,완제
LN204100,2025-06-12,1510000,9.69,12,3등급,대전,30대,주거자금,N,0,상환중
LN202270,2024-02-25,700000,21.18,48,6등급,울산,40대,생활자금,N,0,완제
LN204046,2024-02-25,2680000,9.15,12,3등급,울산,30대,주거자금,Y,53,연체
LN202489,2024-09-28,1860000,6.37,24,2등급,전남,30대,기타,N,0,완제
LN204181,2024-07-25,2910000,16.44,24,5등급,제주,40대,생활자금,N,0,상환중
LN205034,2025-06-05,2700000,4.21,60,1등급,충남,30대,채무상환,N,0,상환중
LN203326,2024-06-09,1380000,12.62,24,4등급,경남,40대,의료비,아니오,0,정상
LN204901,2024-03-21,1940000,14.12,12,4등급,강원,30대,교육비,N,0,정상
LN200939,2024-12-18,620000,,12,,,30대,,N,0,정상상환
LN202197,2024-07-27,1190000,7.64,48,2등급,전남,50대,주거자금,N,0,상환중
LN203510,2024-11-20,1540000,14.96,36,4등급,경남,30대,주거자금,N,0,정상상환
LN201308,2024-04-18,1990000,20.55,24,7등급,서울,30대,채무상환,N,0,정상
LN202839,2024-09-04,1870000,21.36,48,7등급,울산,60대 이상,의료비,Y,10,연체
LN203382,2025-01-07,1170000,11.3,24,3등급,강원,50대,채무상환,N,0,정상상환
LN200850,2025-05-30,840000,,24,,,20대,,Y,50,연체
LN202484,2024-01-18,3450000,10.33,24,4등급,울산,30대,생활자금,N,0,정상
LN200792,2024-07-19,2250000,11.99,6,4등급,경북,30대,기타,N,0,정상상환
LN203325,2024-09-11,910000,16.39,48,5등급,세종,40대,의료비,Y,50,연체
LN204515,2024-07-20,1400000,6.12,60,1등급,부산,30대,생활자금,N,0,정상
LN200647,2024-08-01,2530000,16.35,12,5등급,인천,30대,채무상환,N,0,상환중
LN200032,2025-03-08,3910000,15.53,12,5등급,,20대,,N,0,상환중
LN200426,2024-07-10,2740000,4.54,60,1,대구,40대,채무상환,N,0,완제
LN203200,2024-06-15,1940000,13.12,60,4등급,제주,20대,채무상환,N,0,상환중
LN202710,2025-05-16,630000,10.93,60,4등급,경남,20대,기타,N,0,정상상환
LN204716,2025-03-09,1680000,7.46,12,3등급,부산,50대,주거자금,N,0,완제
LN203844,2025-06-08,1050000,9.46,12,3등급,전남,40대,교육비,N,0,정상
LN201302,2025-05-14,1580000,6.31,6,2등급,인천,20대,주거자금,아니오,0,정상상환
LN200286,2024-08-13,1110000,,48,,,40대,,N,0,상환중
LN203718,2025-03-14,3350000,8.11,6,3등급,경남,50대,채무상환,N,0,완제
LN205697,2024-07-27,6400000,13.29,48,5등급,전남,40대,교육비,N,0,완제
LN205091,2024-07-20,1950000,10.12,36,3등급,대구,30대,주거자금,N,0,상환중
LN204332,2024-04-08,9770000,8.63,12,3등급,울산,30대,생활자금,N,0,상환중
LN202349,2025-04-01,7120000,4.92,60,1등급,제주,50대,기타,N,0,완제
LN201569,2025-04-03,1010000,11.79,24,4등급,세종,40대,기타,N,0,상환중
LN201367,2025-06-15,1380000,16.63,60,5등급,,40대,,N,0,상환중
LN200368,2024-06-26,3390000,18.43,24,6등급,부산,30대,채무상환,N,0,완제
LN202653,2024-10-22,2830000,16.95,12,7등급,세종,20대,교육비,N,0,완제
LN200289,2024-12-15,5910000,12.44,48,,,40대,,N,0,정상
LN202603,2025-06-03,1410000,17.32,48,5등급,울산,40대,교육비,N,0,완제
LN201338,2024-06-26,2690000,12.48,60,4등급,대구,40대,생활자금,N,0,상환중
LN203762,2024-06-01,1810000,15.55,12,5등급,전북,30대,의료비,N,0,완제
LN203742,2025-01-25,3130000,3.52,24,1등급,대구,30대,사업자금,N,0,정상
LN201573,2024-06-29,4420000,19.76,60,6등급,울산,20대,기타,N,0,완제
LN201409,2024-10-16,950000,5.85,6,1등급,세종,30대,채무상환,N,0,정상상환
LN204850,2025-01-27,1220000,11.31,24,4등급,경북,40대,사업자금,N,0,완제
LN202780,2024-06-08,3340000,19.8,60,7등급,서울,50대,교육비,N,0,정상
LN204322,2024-12-31,2240000,,60,,,50대,,N,0,상환중
LN200879,2024-03-20,2220000,5.54,12,2등급,경기,40대,주거자금,N,0,상환중
LN205329,2024-11-29,2840000,4.67,60,1등급,전북,60대 이상,의료비,N,0,정상상환
LN200987,2024-07-01,760000,18.62,36,7등급,경남,40대,,Y,100,상각
LN205406,2025-01-19,3800000,14.0,24,4등급,경기,20대,채무상환,N,0,완제
LN200414,2024-11-22,4730000,17.54,24,6등급,경기도,20대,의료비,Y,20,연체
LN203523,2024-12-22,2620000,5.9,12,1등급,세종,40대,교육비,N,0,상환중
LN200123,2025-04-06,950000,19.54,48,7등급,전북,40대,사업자금,N,0,완제
LN200012,2024-07-08,1510000,17.43,12,6등급,인천,30대,,N,0,정상
LN205698,2024-10-06,1620000,17.89,24,6등급,대구,30대,의료비,N,0,완제
LN200493,2024-11-08,4420000,4.99,48,2등급,서울,40대,기타,N,0,정상
LN204574,2024-09-23,2720000,13.61,12,5등급,인천,30대,기타,Y,22,연체
LN204559,2024-08-26,2180000,9.1,48,4등급,인천,40대,사업자금,N,0,정상
LN203437,2024-01-04,2570000,14.72,36,5등급,전남,30대,주거자금,N,0,상환중
LN202455,2025-01-22,1480000,11.53,12,4등급,경남,40대,생활자금,N,0,정상상환
LN205517,2024-01-23,2220000,18.91,24,7등급,울산,40대,사업자금,Y,2,연체
LN201894,2024-03-16,2620000,9.37,48,3등급,충북,40대,주거자금,N,0,상환중
LN205461,2024-05-17,500000,7.84,6,1등급,경남,20대,사업자금,N,0,상환중
LN205286,2025-06-09,790000,6.63,36,2등급,제주,30대,기타,N,0,정상상환
LN203346,2024-11-05,990000,8.22,6,2등급,서울,30대,,N,0,상환중
LN205778,2025-01-13,1050000,13.06,48,4등급,인천,30대,생활자금,N,0,정상상환
LN200755,2024-03-07,800000,15.58,12,5등급,대구,30대,생활자금,N,0,완제
LN203779,2024-06-20,8980000,8.3,24,2등급,제주,50대,생활자금,N,0,정상
LN204820,2025-04-25,2490000,10.09,6,3등급,인천,30대,사업자금,N,0,상환중
LN202149,2024-08-15,2500000,17.81,48,7등급,경기,30대,채무상환,Y,155,상각
LN205213,2024-08-23,1240000,5.16,36,1등급,대구,50대,기타,N,0,상환중
LN202346,2024-09-22,2480000,17.56,6,6등급,제주,40대,사업자금,Y,58,연체
LN200929,2025-03-20,1990000,18.61,24,6등급,세종,30대,주거자금,N,0,완제
LN202983,2025-04-06,1480000,14.04,12,4등급,대구,20대,채무상환,N,0,완제
LN200029,2024-07-18,2730000,5.36,36,1등급,경남,60대 이상,,N,0,상환중
LN205189,2024-06-26,500000,17.73,12,6등급,서울,20대,의료비,Y,75,연체
LN202560,2024-10-23,3560000,9.84,12,3등급,충북,50대,주거자금,N,0,정상
LN201232,2025-06-02,3470000,14.29,36,5등급,전남,20대,채무상환,Y,22,연체
LN203355,2024-02-02,2850000,10.67,48,4등급,울산,30대,채무상환,N,0,완제
LN201953,2025-02-26,720000,10.48,24,3등급,경기,30대,채무상환,N,0,상환중
LN203799,2025-02-16,4080000,8.01,24,2등급,부산,20대,교육비,N,0,상환중
LN203805,2025-04-13,7630000,13.38,36,4등급,전남,30대,주거자금,N,0,정상
LN202396,2024-01-27,9910000,6.07,60,2등급,제주,50대,교육비,N,0,상환중
LN203673,2024-03-12,2630000,11.72,60,4등급,부산,30대,주거자금,N,0,상환중
LN203363,2025-01-02,2990000,3.88,60,1등급,전남,20대,의료비,N,0,정상
LN200488,2024-01-03,6350000,14.46,12,5등급,세종,30대,채무상환,Y,16,연체
LN204987,2024-01-11,2920000,14.92,48,5등급,경북,20대,교육비,N,0,상환중
LN204984,2024-02-29,2760000,9.5,24,3등급,경북,20대,의료비,N,0,상환중
LN205228,2024-09-18,1500000,10.64,36,4등급,대구,20대,교육비,Y,150,연체
LN203863,2025-02-20,660000,16.92,24,5등급,서울,30대,교육비,N,0,완제
LN203328,2024-06-25,1380000,13.07,60,4등급,경북,50대,주거자금,N,0,상환중
LN204270,2024-07-04,4440000,6.14,12,1등급,광주,20대,주거자금,N,0,완제
LN205380,2024-09-13,12210000,7.82,12,2등급,강원,20대,사업자금,N,0,상환중
LN200093,2024-11-22,7070000,9.44,6,3등급,충남,40대,교육비,N,0,상환중
LN202194,2024-12-21,6190000,11.97,24,3등급,전북,60대 이상,사업자금,N,0,상환중
LN203572,2025-06-10,1190000,7.84,6,2등급,경북,60대 이상,기타,N,0,정상
LN204697,2025-06-08,5610000,8.02,12,3등급,강원,20대,의료비,N,0,정상
LN200607,2024-09-01,1770000,11.2,36,4등급,울산,30대,채무상환,N,0,상환중
LN202599,2024-07-01,930000,18.34,24,,,40대,,Y,28,연체
LN203656,2024-03-27,2720000,14.79,24,5등급,전북,20대,교육비,N,0,상환중
LN204359,2024-09-23,3210000,5.73,24,1등급,제주,50대,의료비,N,0,상환중
LN202476,2025-06-04,2150000,12.93,36,4등급,울산,50대,의료비,N,0,상환중
LN205156,2024-11-13,1800000,9.17,36,3등급,제주,50대,교육비,N,0,완제
LN201303,2024-05-27,910000,15.7,6,5등급,강원,40대,생활자금,N,-1,정상상환
LN201588,2024-12-30,830000,15.46,12,5등급,경남,30대,생활자금,N,0,상환중
LN200555,2024-08-21,1340000,6.23,48,,,20대,,N,0,정상
LN200433,2025-05-28,5220000,18.57,6,7등급,,40대,,N,0,정상
LN203243,2024-03-29,3630000,6.95,12,2등급,충북,40대,생활자금,N,0,상환중
LN202073,2024-11-05,2440000,14.98,24,5등급,제주,40대,의료비,N,0,정상
LN204745,2024-11-06,1820000,12.69,12,4등급,서울,30대,의료비,N,0,상환중
LN200982,2024-01-29,4640000,13.65,60,5등급,전남,60대 이상,,Y,34,연체
LN201431,2025-01-18,1240000,5.46,24,2등급,세종,30대,교육비,N,0,완제
LN202252,2024-11-10,2310000,9.48,6,2등급,광주,30대,채무상환,N,0,정상
LN204169,2025-02-07,1050000,19.81,36,7등급,경남,20대,생활자금,N,0,상환중
LN203788,2024-03-19,2280000,7.94,60,2등급,세종,60대 이상,생활자금,Y,35,연체
LN203807,2024-05-06,1370000,13.94,36,4등급,광주,30대,의료비,N,0,정상상환
LN204431,2024-09-27,1510000,9.29,60,3등급,전남,20대,생활자금,N,0,완제
LN202315,2025-04-17,3210000,5.0,48,2등급,서울,60대 이상,사업자금,N,0,정상상환
LN204625,2025-02-05,11550000,10.67,6,4등급,경남,30대,생활자금,N,0,정상상환
LN205351,2025-01-27,1040000,9.18,24,3등급,광주,30대,주거자금,N,0,상환중
LN201214,2024-03-19,1280000,3.92,12,1등급,세종,60대 이상,사업자금,N,0,정상상환
LN203101,2024-06-26,1260000,21.13,24,7등급,경남,40대,교육비,Y,50,연체
LN204336,2024-05-21,630000,16.8,6,6등급,전남,20대,사업자금,Y,24,연체
LN202943,2025-01-17,1400000,7.76,6,2등급,대전,30대,교육비,N,0,정상상환
LN200760,2024-07-26,2220000,11.69,24,4등급,경기 ,20대,기타,N,0,정상
LN203137,2024-08-26,1720000,13.15,6,4등급,충남,40대,사업자금,N,0,완제
LN200421,2025-01-01,2330000,,24,,,30대,,N,0,완제
LN205409,2024-05-30,790000,11.89,12,4등급,충북,40대,교육비,N,0,정상상환
LN205296,2024-11-22,5510000,19.38,36,6등급,서울,20대,주거자금,Y,28,연체
LN201896,2024-09-12,2430000,11.87,60,4등급,전북,20대,교육비,N,0,완제
LN204051,2024-02-02,2850000,17.27,12,5등급,대전,20대,교육비,N,0,상환중
LN200845,2024-06-03,1450000,5.66,36,2등급,,20대,,N,0,정상
LN205833,2024-02-04,3440000,5.67,24,1등급,경기,20대,기타,N,0,정상상환
LN200543,2024-11-20,710000,13.52,24,4등급,광주,30대,교육비,N,0,정상상환
LN200658,2024-07-29,2800000,8.26,60,3등급,대전,60대 이상,채무상환,N,0,완제
LN202624,2024-09-17,2260000,10.51,60,3등급,제주,20대,사업자금,N,0,상환중
LN201206,2024-06-28,2080000,12.1,24,4등급,전북,60대 이상,사업자금,N,0,정상상환
LN205558,2024-06-28,2260000,5.29,12,2등급,서울,50대,주거자금,N,0,정상상환
LN200460,2024-12-24,5160000,10.38,60,3등급,인천,40대,생활자금,Y,1,연체
LN203936,2024-04-10,2190000,16.18,24,5등급,인천,20대,기타,N,0,상환중
LN204013,2024-10-17,900000,8.39,6,2등급,세종,40대,기타,N,0,상환중
LN203784,2025-03-09,1570000,13.45,12,4등급,광주,20대,의료비,N,0,정상
LN201056,2025-05-03,500000,16.04,24,5등급,경북,20대,의료비,N,0,정상상환
LN200130,2025-03-13,790000,5.85,36,1등급,강원,40대,교육비,N,0,상환중
LN200846,2024-09-18,3170000,11.01,24,3등급,busan,20대,,N,0,정상상환
LN202722,2024-01-26,3400000,11.56,36,4등급,전남,60대 이상,사업자금,N,0,정상상환
LN204517,2024-11-14,820000,16.3,48,5등급,경북,50대,교육비,N,0,정상상환
LN200045,2024-09-12,910000,6.45,6,1등급,대구,20대,기타,N,0,정상
LN203515,2025-02-16,1470000,6.99,60,2등급,전북,40대,기타,N,0,상환중
LN203971,2024-11-08,2590000,18.31,24,6등급,전북,40대,주거자금,N,0,완제
LN205132,2024-04-01,2310000,16.74,36,5등급,충북,40대,채무상환,N,0,정상상환
LN200038,2024-04-11,4550000,20.16,12,7등급,광주,40대,채무상환,N,0,상환중
LN204618,2024-04-30,2530000,7.47,12,2등급,전북,20대,사업자금,N,0,정상
LN205152,2025-02-15,940000,15.52,60,5등급,전북,30대,사업자금,Y,15,연체
LN202906,2024-11-09,2110000,13.85,24,5등급,경북,40대,사업자금,N,0,정상
LN202126,2024-08-31,4290000,10.28,48,3등급,충남,40대,주거자금,N,0,정상상환
LN205294,2024-03-06,2310000,4.54,24,1등급,전북,50대,채무상환,N,0,정상상환
LN205810,2024-07-28,6000000,7.91,48,2등급,광주,60대 이상,의료비,N,0,상환중
LN202994,2025-04-03,1900000,,36,,,30대,,N,0,정상상환
